Month,Category,Item,Option,Quantity,Price Per Unit,Total Profit
January,Services,Obstetrics and Gynecology Consultation,N/A,665.00,598.20,397800.00
January,Services,Pediatrics Consultation,N/A,535.00,597.69,319765.10
January,Ultrasound,Obstetrics and Gynecology,Transvaginal,218.00,1197.25,261000.00
January,Vaccines,PCV Vaccine,N/A,40.00,3972.07,158882.88
January,Ultrasound,Obstetrics and Gynecology,Congenital Anomaly Scan,54.00,2500.00,135000.00
January,Vaccines,6 IN 1 Vaccine,N/A,29.00,3961.48,114882.88
January,Ultrasound,Obstetrics and Gynecology,BPS + Biometry,74.00,1296.86,95968.00
January,Vaccines,Rotateq Vaccine,N/A,35.00,2480.05,86801.80
January,Vaccines,Flu Vaccine,N/A,43.00,2000.00,86000.00
January,Vaccines,Rotarix Vaccine,N/A,27.00,3000.00,81000.00
January,Ultrasound,Obstetrics and Gynecology,Pelvic,47.00,1194.89,56160.00
January,Surgeon,Surgery Procedure (8500),N/A,5.00,8500.00,42500.00
January,Surgeon,Surgery Procedure (9500),N/A,4.00,9500.00,38000.00
January,Laboratory,Medical Packages,Thyroid Function Test,19.00,1800.00,34200.00
January,Laboratory,Medical Packages,Buntis Package B,13.00,2500.00,32500.00
January,Services,REI,N/A,40.00,800.00,32000.00
January,Vaccines,MMR Vaccine,N/A,11.00,2500.00,27500.00
January,Medical Certificate,Swab Test,N/A,22.00,1190.27,26186.00
January,Ultrasound,Obstetrics and Gynecology,5D ULTRASOUND,8.00,3000.00,24000.00
January,Medicines,Medicine,Calcium (Calsure Boncare),1998.00,12.00,23976.00
January,Ultrasound,Obstetrics and Gynecology,Biometry,20.00,1188.00,23760.00
January,Vaccines,Meningococcal Vaccine,N/A,6.00,3881.00,23286.00
January,Laboratory,Clinical Chemistry,75 Gram OGTT,19.00,1200.00,22800.00
January,Medicines,Medicine,Multivitamins (Obtrene),1854.00,12.00,22248.00
January,Surgeon,Surgery Procedure (10500),N/A,2.00,10500.00,21000.00
January,Vaccines,TD Vaccine,N/A,24.00,860.00,20640.00
January,Vaccines,Japanese Encephalitis Vaccine,N/A,5.00,4000.00,20000.00
January,Laboratory,Clinical Microbiology,Papsmear,38.00,450.00,17100.00
January,Laboratory,Medical Packages,Buntis Package A,10.00,1700.00,17000.00
January,Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),10.00,1669.70,16697.00
January,Ultrasound,Obstetrics and Gynecology,3D-4D Ultrasound,6.00,2500.00,15000.00
January,Services,Urology Consultation,N/A,18.00,800.00,14400.00
January,Services,Cardiology Consultation,N/A,19.00,742.74,14112.00
January,Medicines,Medicine,Evening Primrose (Primdin),572.00,24.64,14095.00
January,Vaccines,Varicella Vaccine,N/A,4.00,3500.00,14000.00
January,Ultrasound,Obstetrics and Gynecology,TVS w Follicle Monitoring,8.00,1700.00,13600.00
January,Vaccines,MMRV Vaccine,N/A,2.00,6500.00,13000.00
January,Medical Certificate,Medical Certificate,N/A,65.00,200.00,13000.00
January,Surgeon,Surgery Procedure (11500),N/A,1.00,11500.00,11500.00
January,Services,Surgery Consultation,N/A,20.00,564.60,11292.00
January,Laboratory,Clinical Chemistry,HIV Screening,17.00,650.00,11050.00
January,Vaccines,Tetanus Toxoid Vaccine,N/A,21.00,500.00,10500.00
January,Medicines,Family Planning,DMPA (Depotrust),21.00,500.00,10500.00
January,Medicines,Medicine,Ferrous + Folic Acid (Prenat),838.00,12.00,10056.00
January,Surgeon,Surgery Procedure (4500),N/A,2.00,4500.00,9000.00
January,Laboratory,Hematology,Complete Blood Count (CBC),22.00,400.00,8800.00
January,Medicines,Medicine,Gestron,128.00,65.00,8320.00
January,Services,Intramuscular Injection,N/A,11.00,748.00,8228.00
January,Medicines,Medicine,Metindaz,63.00,130.00,8190.00
January,Medicines,Medicine,Dydrogesterone (Duphaston),94.00,85.00,7990.00
January,Vaccines,Hepatitis A Vaccine,N/A,3.00,2500.00,7500.00
January,Ultrasound,Obstetrics and Gynecology,Transrectal,6.00,1200.00,7200.00
January,Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),4.00,1700.00,6800.00
January,Laboratory,Miscellaneous,HbA1c,12.00,550.00,6600.00
January,Surgeon,Surgery Procedure (6500),N/A,1.00,6500.00,6500.00
January,Services,Ear Piercing,N/A,6.00,1000.00,6000.00
January,Laboratory,Hematology,Platelet Count (PC),24.00,250.00,6000.00
January,Laboratory,Medical Packages,Lipid Profile,6.00,970.17,5821.00
January,Ultrasound,General Ultrasound,Inguinoscrotal Ultrasound (with doppler),3.00,1900.00,5700.00
January,Laboratory,Clinical Microbiology,Urine C-S,7.00,800.00,5600.00
January,Medicines,Medicine,Ferrous Fumarate + B2+B12+ Folic Acid (Hematrene),466.00,12.00,5592.00
January,Medicines,Medicine,Vitamin C + Zinc (Pearly-C),447.00,12.00,5364.00
January,Ultrasound,General Ultrasound,Whole Abdomen,3.00,1700.00,5100.00
January,Medicines,Medicine,Medroxyprogesterone (DB-10),60.00,80.00,4800.00
January,Medicines,Medicine,Calcium Carbonate + D3 (CalDTrene),388.00,12.00,4656.00
January,Ultrasound,Obstetrics and Gynecology,BPS with Doppler,2.00,2300.00,4600.00
January,Services,Laser Circumcision,N/A,1.00,4500.00,4500.00
January,Vaccines,Gardasil 4 Vaccine,N/A,1.00,4500.00,4500.00
January,Laboratory,Clinical Chemistry,FBS,7.00,631.43,4420.00
January,Ultrasound,General Ultrasound,Cranial Ultrasound (Pedia),2.00,2200.00,4400.00
January,Laboratory,Hematology,ABO RH Typing,14.00,300.00,4200.00
January,Laboratory,Clinical Chemistry,VDRL-RPR,9.00,450.00,4050.00
January,Services,Implant Insertion,N/A,1.00,4000.00,4000.00
January,Services,Implant Removal,N/A,2.00,1800.00,3600.00
January,Laboratory,Clinical Chemistry,HBsAg Screening,8.00,450.00,3600.00
January,Ultrasound,Obstetrics and Gynecology,Cervical Length,5.00,700.00,3500.00
January,Medical Certificate,Medical Clearance,N/A,2.00,1750.00,3500.00
January,Medicines,Medicine,Folic Acid (Quatrofol),218.00,15.00,3270.00
January,Laboratory,Medical Packages,Blood Chemistry (Hypertension),1.00,3200.00,3200.00
January,Laboratory,Medical Packages,Wellness Package,1.00,3199.00,3199.00
January,Vaccines,Typhoid Vaccine,N/A,1.00,3000.00,3000.00
January,Medicines,Medicine,Mupirocin Ointment (Mupiderm),12.00,250.00,3000.00
January,Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),114.00,25.00,2850.00
January,Laboratory,Clinical Microscopy,Urinalysis,14.00,200.00,2800.00
January,Medicines,Medicine,Methylergometrine (Ergojen),111.00,25.00,2775.00
January,Medicines,Medicine,Multivitamins (Medcare OB),230.00,12.00,2760.00
January,Pediatric Medicines,Pro Biolyte (Banana),N/A,65.00,40.00,2600.00
January,Services,Regular Circumcision,N/A,1.00,2500.00,2500.00
