Item,ds,Predicted Profit
Obstetrics and Gynecology,2024-01-31,"$551,420.43"
Obstetrics and Gynecology,2024-02-29,"$546,989.77"
Obstetrics and Gynecology,2024-03-31,"$542,253.56"
Obstetrics and Gynecology,2024-04-30,"$537,670.13"
Obstetrics and Gynecology,2024-05-31,"$532,933.91"
Obstetrics and Gynecology,2024-06-30,"$528,350.48"
Obstetrics and Gynecology,2024-07-31,"$523,614.26"
Obstetrics and Gynecology,2024-08-31,"$518,878.05"
Obstetrics and Gynecology,2024-09-30,"$514,294.61"
Obstetrics and Gynecology,2024-10-31,"$509,558.40"
Obstetrics and Gynecology,2024-11-30,"$504,974.97"
Obstetrics and Gynecology Consultation,2024-01-31,"$428,117.24"
Obstetrics and Gynecology Consultation,2024-02-29,"$429,640.14"
Obstetrics and Gynecology Consultation,2024-03-31,"$431,268.07"
Obstetrics and Gynecology Consultation,2024-04-30,"$432,843.49"
Obstetrics and Gynecology Consultation,2024-05-31,"$434,471.43"
Obstetrics and Gynecology Consultation,2024-06-30,"$436,046.84"
Obstetrics and Gynecology Consultation,2024-07-31,"$437,674.78"
Obstetrics and Gynecology Consultation,2024-08-31,"$439,302.71"
Obstetrics and Gynecology Consultation,2024-09-30,"$440,878.13"
Obstetrics and Gynecology Consultation,2024-10-31,"$442,506.06"
Obstetrics and Gynecology Consultation,2024-11-30,"$444,081.48"
Pediatrics Consultation,2024-01-31,"$393,086.46"
Pediatrics Consultation,2024-02-29,"$398,561.37"
Pediatrics Consultation,2024-03-31,"$404,413.86"
Pediatrics Consultation,2024-04-30,"$410,077.56"
Pediatrics Consultation,2024-05-31,"$415,930.05"
Pediatrics Consultation,2024-06-30,"$421,593.75"
Pediatrics Consultation,2024-07-31,"$427,446.25"
Pediatrics Consultation,2024-08-31,"$433,298.74"
Pediatrics Consultation,2024-09-30,"$438,962.44"
Pediatrics Consultation,2024-10-31,"$444,814.93"
Pediatrics Consultation,2024-11-30,"$450,478.63"
Medicine,2024-01-31,"$114,817.80"
Medicine,2024-02-29,"$112,914.17"
Medicine,2024-03-31,"$110,879.26"
Medicine,2024-04-30,"$108,909.99"
Medicine,2024-05-31,"$106,875.08"
Medicine,2024-06-30,"$104,905.81"
Medicine,2024-07-31,"$102,870.89"
Medicine,2024-08-31,"$100,835.98"
Medicine,2024-09-30,"$98,866.71"
Medicine,2024-10-31,"$96,831.80"
Medicine,2024-11-30,"$94,862.53"
Flu Vaccine,2024-01-31,"$112,481.74"
Flu Vaccine,2024-02-29,"$113,350.53"
Flu Vaccine,2024-03-31,"$114,279.24"
Flu Vaccine,2024-04-30,"$115,177.99"
Flu Vaccine,2024-05-31,"$116,106.70"
Flu Vaccine,2024-06-30,"$117,005.45"
Flu Vaccine,2024-07-31,"$117,934.15"
Flu Vaccine,2024-08-31,"$118,862.86"
Flu Vaccine,2024-09-30,"$119,761.61"
Flu Vaccine,2024-10-31,"$120,690.32"
Flu Vaccine,2024-11-30,"$121,589.07"
Rotateq Vaccine,2024-01-31,"$144,750.88"
Rotateq Vaccine,2024-02-29,"$150,576.09"
Rotateq Vaccine,2024-03-31,"$156,803.03"
Rotateq Vaccine,2024-04-30,"$162,829.11"
Rotateq Vaccine,2024-05-31,"$169,056.06"
Rotateq Vaccine,2024-06-30,"$175,082.13"
Rotateq Vaccine,2024-07-31,"$181,309.08"
Rotateq Vaccine,2024-08-31,"$187,536.03"
Rotateq Vaccine,2024-09-30,"$193,562.10"
Rotateq Vaccine,2024-10-31,"$199,789.05"
Rotateq Vaccine,2024-11-30,"$205,815.13"
"PCV ""Pneumoccoccal"" Vaccine",2024-01-31,"$138,825.01"
"PCV ""Pneumoccoccal"" Vaccine",2024-02-29,"$146,355.28"
"PCV ""Pneumoccoccal"" Vaccine",2024-03-31,"$154,404.88"
"PCV ""Pneumoccoccal"" Vaccine",2024-04-30,"$162,194.82"
"PCV ""Pneumoccoccal"" Vaccine",2024-05-31,"$170,244.42"
"PCV ""Pneumoccoccal"" Vaccine",2024-06-30,"$178,034.35"
"PCV ""Pneumoccoccal"" Vaccine",2024-07-31,"$186,083.95"
"PCV ""Pneumoccoccal"" Vaccine",2024-08-31,"$194,133.55"
"PCV ""Pneumoccoccal"" Vaccine",2024-09-30,"$201,923.49"
"PCV ""Pneumoccoccal"" Vaccine",2024-10-31,"$209,973.09"
"PCV ""Pneumoccoccal"" Vaccine",2024-11-30,"$217,763.02"
Medical Packages,2024-01-31,"$34,483.54"
Medical Packages,2024-02-29,"$30,124.69"
Medical Packages,2024-03-31,"$25,465.24"
Medical Packages,2024-04-30,"$20,956.09"
Medical Packages,2024-05-31,"$16,296.64"
Medical Packages,2024-06-30,"$11,787.49"
Medical Packages,2024-07-31,"$7,128.04"
Medical Packages,2024-08-31,"$2,468.59"
Medical Packages,2024-09-30,"$5,000.00"
Medical Packages,2024-10-31,"$5,000.00"
Medical Packages,2024-11-30,"$5,000.00"
"6 IN 1 ""Hexaxim"" Vaccine",2024-01-31,"$109,903.33"
"6 IN 1 ""Hexaxim"" Vaccine",2024-02-29,"$112,952.45"
"6 IN 1 ""Hexaxim"" Vaccine",2024-03-31,"$116,211.85"
"6 IN 1 ""Hexaxim"" Vaccine",2024-04-30,"$119,366.11"
"6 IN 1 ""Hexaxim"" Vaccine",2024-05-31,"$122,625.51"
"6 IN 1 ""Hexaxim"" Vaccine",2024-06-30,"$125,779.77"
"6 IN 1 ""Hexaxim"" Vaccine",2024-07-31,"$129,039.18"
"6 IN 1 ""Hexaxim"" Vaccine",2024-08-31,"$132,298.58"
"6 IN 1 ""Hexaxim"" Vaccine",2024-09-30,"$135,452.84"
"6 IN 1 ""Hexaxim"" Vaccine",2024-10-31,"$138,712.24"
